data_resource_uid	dcterms:license	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	sex	reproductiveCondition	establishmentMeans	occurrenceStatus	occurrenceRemarks	eventID	eventDate	year	month	samplingProtocol	locationID	country	countryCode	stateProvince	locality	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	georeference_verification_status	identificationQualifier	typeStatus	identifiedBy	dateIdentified	taxonConceptID	scientificName	scientificName	originalNameUsage	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	species	verbatimIdentificationQualifier	recordID	dcterms:accessRights	verbatimBasisOfRecord	Temperature - annual max mean	Temperature - annual min mean	Temperature - annual range	Precipitation - annual mean	Radiation - annual mean (Bio20)	Elevation 	Enhanced Vegetation Index (2012-03-05)	Moisture Index - annual mean (Bio28)	Nutrient status	Ph - soil
drt25826				Koalas										present								Australia		Victoria							-37.2326779999999	148.26029		-37.2326779999999	148.26029			Not provided																		e653d670-48d3-4d06-bd5d-651d1d50ea71			16.361668	4.2225	23.219482	76.53461	15.5	695.0	0.4063	0.8	1.75	4.0
drt25826				Koalas										present								Australia		New South Wales							-28.35	153.4719444		-28.35	153.4719444			Not provided																		e6404d96-ab2f-45f3-8a61-b78ae9806470			24.255833	14.013333	20.109985	151.92444	16.8	69.0	0.5047	0.92	1.6	4.0
drt25826				Koalas										present								Australia		New South Wales							-32.734888	152.103344		-32.734888	152.103344			Not provided																		e5f3e0ba-dec3-45f5-9598-2d046262cba1			22.2825	11.710834	20.600006	107.043365	16.7		0.293	0.8	0.9	
drt25826				Koalas										present								Australia		New South Wales							-28.6433333	152.9991667		-28.6433333	152.9991667			Not provided																		e4499e2f-d992-4c28-9551-86bbdb7ce1c3			25.658333	11.888333	24.70221	93.50158	17.8	53.0	0.5398	0.73	2.15	5.0
drt25826				Koalas										present								Australia		Queensland							-25.3610544	152.907736		-25.3610544	152.907736			Not provided																		e4287d25-abeb-478b-929e-f876de5cb79f			25.6525	16.2825	19.293762	103.63367	18.2	7.0	0.4683	0.71	1.95	
drt25826				Koalas										present								Australia		Victoria							-36.8213209	145.6682696		-36.8213209	145.6682696			Not provided																		e38bdf49-8632-46f6-804d-43928130b88d			17.955	6.116667	25.097565	76.455925	15.6	477.0	0.3793	0.71	1.5	4.0
drt25826				Koalas										present								Australia		Queensland							-26.1184534	152.1841054		-26.1184534	152.1841054			Not provided																		e3555456-4d02-48b0-8156-b43af26b22f0			26.464167	12.83	24.568146	69.789764	18.7	149.0	0.4404	0.47	1.75	5.0
drt25826				Koalas										present								Australia		Queensland							-27.9893655	153.3364827		-27.9893655	153.3364827			Not provided																		e32b71d7-2dd0-4900-96ef-8260315c13d0			24.666666	14.285833	20.46054	116.919395	17.4	73.0	0.2515	0.86	1.85	4.0
drt25826				Koalas										present								Australia		Queensland							-26.5433568	151.9405735		-26.5433568	151.9405735			Not provided																		e30c199d-e126-4f12-b346-38e70c686787			24.256666	10.596666	25.100006	65.44654	18.8	418.0	0.4003	0.49	1.1	5.0
drt25826				Koalas										present								Australia		Queensland							-25.2881539	152.7676633		-25.2881539	152.7676633			Not provided																		e2ca6bbc-3f87-48fc-9b5c-a5a1d7f4ad88			25.8775	16.206667	20.151154	91.6322	18.4	11.0	0.4003	0.63	1.95	
drt25826				Koalas										present								Australia		New South Wales							-31.443473	152.917448		-31.443473	152.917448			Not provided																		e050d757-138d-41ee-b3dd-daa432ae3055			22.239166	12.130834	19.899994	122.26893	16.7		0.4322	0.86	2.0	
drt25826				Koalas										present								Australia		Victoria							-37.555094	149.73323		-37.555094	149.73323			Not provided																		e0421359-93d1-4995-b5dc-5b39ff92ffeb			17.845833	10.459167	16.100006	84.09108	15.3	62.0	0.4164	0.76	0.9	4.0
drt25826				Koalas										present								Australia		New South Wales							-35.9541667	149.1475		-35.9541667	149.1475			Not provided																		e00185db-6806-4e08-bbcf-c61cc4c5e946			18.696667	4.7283335	26.63382	46.886906	17.0	735.0	0.3425	0.45	1.4	5.0
drt25826				Koalas										present								Australia		Queensland							-26.3659743	152.8548313		-26.3659743	152.8548313			Not provided																		df3f5a36-e77c-4363-8740-f0ec46167af6			25.233334	13.9366665	21.103058	120.3766	17.6	81.0	0.3102	0.85	1.0	4.0
drt25826				Koalas										present								Australia		New South Wales							-34.019387	150.968509		-34.019387	150.968509			Not provided																		df352804-27b7-432b-806c-293e6ff5de28			22.116667	11.445	21.800018	79.54492	16.8	71.0	0.3634	0.66	1.0	4.0
drt25826				Koalas										present								Australia		Queensland							-27.2664175	152.9943221		-27.2664175	152.9943221			Not provided																		de57dfe5-75ba-417e-93de-3a06dda465c7			24.86	14.090834	20.817749	103.19155	17.7	39.0	0.5084	0.78	1.9	5.0
drt25826				Koalas										present								Australia		Queensland							-27.2224665	153.05404		-27.2224665	153.05404			Not provided																		de38f94e-e9ce-4da1-a877-5e245f9cdfce			24.864166	14.6258335	20.700012	104.73442	17.7	2.0	0.3805	0.8	1.4	
drt25826				Koalas										present								Australia		Queensland							-27.2191132	153.0381026		-27.2191132	153.0381026			Not provided																		de027d45-942f-406e-90ad-dc4f68f27d1a			24.880001	14.524167	20.800018	104.639496	17.7	8.0	0.3538	0.8	1.4	5.0
drt25826				Koalas										present								Australia		Victoria							-37.555094	149.73323		-37.555094	149.73323			Not provided																		ddb00b1d-bb6c-4cc7-b09c-7d949a211373			17.845833	10.459167	16.100006	84.09108	15.3	62.0	0.4164	0.76	0.9	4.0
drt25826				Koalas										present								Australia		New South Wales							-29.0119444	153.3958333		-29.0119444	153.3958333			Not provided																		dd402ccf-3b51-4006-b507-d72d72c04026			24.336666	13.920834	20.201996	128.74431	17.1	10.0	0.3983	0.83	1.1	4.0
drt25826				Koalas										present								Australia		Victoria							-37.2211319999999	148.263544		-37.2211319999999	148.263544			Not provided																		dd3713c6-c147-4679-abf9-d5b9672dadca			16.481667	4.2716665	23.399994	74.941246	15.5	743.0	0.5754	0.8	1.75	4.0
drt25826				Koalas										present								Australia		Queensland							-26.4580939	152.8010911		-26.4580939	152.8010911			Not provided																		dd0c75d0-f152-4ba6-95fe-82decbbe4cb3			25.073334	13.609167	21.441559	119.23042	17.6	99.0	0.5027	0.86	1.25	4.0
drt25826				Koalas										present								Australia		Queensland							-26.4596027	152.6774729		-26.4596027	152.6774729			Not provided																		dc59d436-6196-4938-a651-5f552a60093b			25.840834	13.504167	22.699982	99.219635	17.9	85.0	0.3619	0.75	1.1	5.0
